Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
12780,24.22,20.31,19.82,19.34,19.82
12820,24.22,20.31,19.34,19.82,19.82
12860,24.22,20.31,19.82,19.34,19.34
12899,24.22,19.82,19.82,19.34,19.34
12939,24.22,20.31,19.34,19.82,19.82
12978,24.22,20.31,19.82,19.34,19.82
13018,24.22,20.31,19.82,19.34,19.82
13058,24.22,19.82,19.82,19.34,19.34
13096,24.22,20.31,19.82,19.82,19.82
13136,24.22,20.31,19.34,19.82,19.34
13175,24.22,19.82,19.82,19.34,19.82
13215,24.22,20.31,19.82,19.34,19.34
13255,24.22,20.31,19.34,19.34,19.82
13294,24.22,20.31,19.82,19.34,20.31
13334,24.22,19.82,19.82,19.34,19.82
13373,24.22,20.31,19.34,19.82,19.82
13413,24.22,20.31,19.34,19.34,19.34
13453,24.22,20.31,19.82,19.34,19.82
13492,24.22,20.31,19.34,19.34,19.82
13532,24.22,19.82,19.34,19.34,19.82
13571,24.22,20.31,19.34,19.34,19.82
13611,24.71,19.82,19.82,19.34,19.34
13649,24.22,20.31,19.82,19.34,19.82
13689,24.22,20.31,19.82,19.34,19.34
13729,24.22,19.82,19.34,19.34,19.82
13768,24.22,20.31,19.34,19.34,19.82
13808,24.71,20.31,19.34,19.82,19.82
13847,24.22,20.31,19.82,19.82,19.82
13887,24.22,20.31,19.34,19.34,19.82
13927,24.71,20.31,19.82,19.34,19.82
13966,24.22,20.31,19.82,19.34,19.34
14006,24.22,19.82,19.82,19.34,19.82
14045,24.71,20.31,19.82,19.82,20.31
14085,24.22,20.31,19.82,19.34,19.82
14125,24.22,20.31,19.82,19.34,19.82
14163,24.71,20.31,19.82,19.34,19.82
14203,24.22,20.31,19.34,19.34,19.34
14242,24.22,20.31,19.34,19.34,19.82
14282,24.71,20.31,19.82,19.34,19.82
14322,24.22,20.31,19.82,19.82,19.34
14361,24.22,20.31,19.34,19.34,19.82
14401,24.71,20.31,19.82,19.34,19.82
14440,24.71,19.82,19.82,19.34,19.82
14480,24.22,20.31,19.34,19.34,19.34
14520,24.22,20.31,19.82,19.34,20.31
14559,24.22,19.82,19.82,19.34,19.82
14599,24.22,20.31,19.82,19.34,19.82
14638,24.71,20.31,19.82,19.34,19.82
14678,24.22,20.31,19.34,19.34,19.34
14717,24.22,20.31,19.34,19.82,19.82
14756,24.22,20.31,19.82,19.82,19.34
14796,24.22,20.31,19.34,19.82,19.82
14835,24.22,19.82,19.34,19.34,19.82
14875,24.22,20.31,19.82,19.34,19.34
14914,24.22,19.82,19.34,18.85,19.82
14954,24.22,20.31,19.82,19.34,19.34
14994,24.71,20.31,19.82,19.82,19.34
15033,24.71,20.31,19.82,19.34,19.34
15073,24.71,20.31,19.82,19.82,19.82
15112,24.71,20.80,19.82,19.82,19.82
15152,24.22,20.31,19.82,19.34,19.82
15192,24.22,20.31,19.34,19.34,19.34
15230,24.71,20.31,19.82,19.82,20.31
15270,24.22,20.31,19.82,19.34,19.82
15309,24.71,20.31,19.82,19.34,19.34
15349,24.71,20.31,19.82,19.34,19.82
15389,24.71,20.31,19.82,19.82,19.82
15428,24.22,20.31,19.82,19.34,19.82
15468,24.22,20.31,19.82,19.34,19.82
15507,24.71,20.31,19.82,19.82,19.82
15547,24.22,20.31,19.34,19.82,19.82
15587,24.22,20.31,19.82,19.82,19.82
15626,24.22,20.31,19.82,19.34,19.82
15666,24.22,20.31,19.34,19.82,19.82
15705,24.22,20.31,19.82,19.82,20.31
15745,24.22,20.31,19.82,19.34,19.82
15784,24.71,20.31,19.82,19.34,19.82
15823,24.71,20.31,19.82,19.34,19.82
15863,24.71,19.82,19.82,19.34,19.34
15902,24.71,20.31,19.34,19.34,19.82
15942,24.22,20.31,19.82,19.82,20.31
15982,24.71,19.82,19.82,19.34,19.34
16021,24.22,20.31,19.82,19.82,19.34
16061,24.22,20.31,19.82,19.82,20.31
16100,24.71,20.31,19.82,19.82,19.82
16140,24.71,20.31,19.82,19.34,19.34
16179,24.22,20.31,19.82,19.82,20.31
16219,24.71,20.31,19.82,19.34,19.82
16259,24.22,20.31,19.82,19.34,19.82
16297,24.71,20.31,19.82,19.82,19.82
16337,24.71,20.31,19.82,19.34,19.82
16376,24.71,20.31,19.34,19.34,19.34
16416,24.22,20.31,19.82,18.85,20.31
16456,24.71,20.31,19.82,19.34,19.34
16495,24.71,20.31,19.34,19.34,19.82
16535,24.22,20.31,19.34,19.34,19.82
16574,24.71,20.31,19.82,19.34,19.34
16614,24.71,20.31,19.34,19.34,19.34
16654,24.22,20.31,19.82,19.34,20.31
16693,24.22,20.31,19.82,19.34,19.34
16733,24.71,20.31,19.82,19.34,19.34
16772,24.22,20.31,19.82,19.82,19.82
16812,24.22,20.31,19.34,19.34,19.82
16851,24.22,20.31,19.82,19.34,19.82
16890,24.22,20.31,19.82,19.34,19.82
16930,24.71,20.31,19.34,19.34,19.82
16969,24.71,20.31,19.82,19.34,20.31
17009,24.22,20.31,19.82,19.34,19.34
17049,24.71,20.31,19.82,19.82,19.34
17088,24.71,20.31,19.82,19.34,19.82
17128,24.71,20.31,19.82,19.34,19.34
17167,24.71,20.31,19.82,19.34,19.82
17207,24.71,20.31,19.82,19.34,19.82
17247,24.71,20.31,19.82,19.34,19.82
17286,24.71,20.31,19.82,19.34,19.82
17326,24.71,20.31,19.82,19.34,19.82
17364,24.71,20.31,19.82,19.34,19.82
17404,24.71,20.31,19.34,19.34,19.34
17443,24.22,20.31,19.34,19.34,19.82
17483,24.22,19.82,19.34,19.34,19.82
17523,24.71,20.31,19.82,19.82,19.82
17562,24.71,20.31,19.82,19.34,19.34
17602,24.71,20.31,19.34,19.34,19.34
17641,24.71,20.31,19.82,19.34,19.82
17681,24.71,20.31,19.34,19.34,19.34
17721,24.71,20.31,19.82,19.34,19.82
17760,24.71,20.31,19.82,19.34,19.82
17800,24.71,20.31,19.82,19.34,19.82
17839,24.71,20.31,19.34,19.34,19.82
17879,24.22,20.31,19.82,19.34,19.82
17918,24.71,20.31,19.34,19.34,19.82
17957,24.71,20.31,19.82,19.82,19.82
17997,24.71,19.82,19.34,19.34,19.34
18036,24.71,20.31,19.82,19.82,19.82
18076,24.71,20.31,19.82,19.34,19.82
18116,24.71,20.31,19.82,19.34,18.85
18155,24.71,20.31,19.82,19.34,19.82
18195,24.71,20.31,19.82,19.34,19.82
18234,24.71,20.31,19.34,19.82,19.82
18274,24.71,20.31,19.82,19.82,19.34
18314,24.71,20.31,19.34,19.34,19.34
18353,24.71,20.31,19.34,19.34,19.82
18393,24.71,20.31,19.82,19.34,19.82
18432,24.71,20.31,19.34,19.34,19.34
18471,24.71,20.31,19.82,19.34,19.82
18511,24.71,20.31,19.82,19.34,19.82
18550,24.71,20.31,19.82,19.34,19.34
18590,24.71,20.31,19.82,19.34,19.82
18629,24.71,20.31,19.82,19.34,19.34
18669,24.71,20.31,19.82,19.34,19.82
18708,24.71,20.31,19.82,19.34,19.82
18748,24.71,20.31,19.82,19.82,19.82
18788,24.71,20.31,19.82,19.34,19.34
18827,24.71,20.31,19.82,19.34,19.82
18867,24.71,20.31,19.82,19.34,19.34
18906,24.71,20.31,19.82,19.34,19.34
18946,24.71,20.31,19.34,19.34,19.82
18985,24.71,20.31,19.82,19.34,19.34
19024,24.71,20.31,19.82,19.34,19.82
19064,24.71,20.31,19.82,19.34,19.82
19103,24.71,20.31,19.82,19.82,19.82
19143,24.22,20.31,19.34,19.34,19.82
19183,24.71,20.31,19.82,19.34,19.34
19222,24.71,20.31,19.82,19.34,19.82
19262,24.71,20.31,19.82,19.34,19.34
19301,24.71,20.31,19.82,19.34,19.34
19341,24.71,20.31,19.82,19.34,19.82
19381,24.71,20.31,19.82,19.34,19.34
19420,24.71,20.31,19.82,19.34,19.82
19460,24.71,20.31,19.82,19.82,19.82
19499,24.71,20.31,19.82,19.82,19.82
19538,24.71,19.82,19.34,19.34,19.34
19578,24.71,20.31,19.82,19.82,19.82
19617,24.71,20.31,19.34,19.34,19.34
19657,24.71,20.31,19.34,19.34,19.34
19696,24.71,20.31,19.82,19.82,19.82
19736,25.20,20.31,19.82,19.34,19.34
